Date,Open,High,Low,Close,Volume,Adj Close
2013-11-25,40.93,41.08,38.80,39.06,14333400,39.06
2013-11-22,41.81,42.28,40.97,41.00,6179000,41.00
2013-11-21,41.25,42.49,40.37,42.06,8320800,42.06
2013-11-20,41.40,41.75,40.51,41.05,5765900,41.05
2013-11-19,41.39,41.90,40.00,41.75,7436600,41.75
2013-11-18,43.50,43.95,40.85,41.14,12802000,41.14
2013-11-15,45.25,45.27,43.43,43.98,8005200,43.98
2013-11-14,42.34,45.67,42.24,44.69,11090800,44.69
2013-11-13,41.03,42.87,40.76,42.60,8688300,42.60
2013-11-12,43.66,43.78,41.83,41.90,6315600,41.90
2013-11-11,40.50,43.00,39.40,42.90,16106100,42.90
2013-11-08,45.93,46.94,40.69,41.65,27925300,41.65
2013-11-07,45.10,50.09,44.00,44.90,117701700,44.90
